Rua António Ramos 24, 4910-466 Vila Praia de Âncora, Portugal
Estrada de Santa Margarida 33, 8100-012 Alte, Portugal
Avenida 5 de Outubro 79, 5100-065 Lamego, Portugal
Rua Doutor Amândio de Figueiredo 1964, 5030-046 Cumieira, Portuga
Rua José Relvas 569, 2090-107 Alpiarça, Portugal
Rua Doutor Francisco António Diniz 38, 3080-157 Figueira da Foz, Portugal
Rua Carlos Cordeiro Feio 32, 4910-464 Vila Praia de Âncora, Portugal
Rua Coronel Lopes Mateus 13, 2070-641 Vila Chã de Ourique, Portugal
Avenida Mouzinho de Albuquerque 78, 6060-181 Idanha-a-Nova, Portugal
Rua do Cruzeiro 10, 2500-633 Salir de Matos, Portugal
Sítio de Selões 125, 8100-321 Loulé, Portugal
Rua de Santa Maria do Castelo 53, 3530-238 Mangualde, Portugal
Rua Doutor Henrique Figueiredo 9, 3200-235 Lousã, Portugal
Rua Senhora da Tocha 24, 8500-575 Portimão, Portugal
Rua Branquinho da Fonseca 26, 2700-128 Amadora, Portugal
Rua Zeca Afonso 2, 2870-531 Setúbal, Portugal
Travessa do Ribeiro Barato 4, 2220 Sardoal, Portugal
Rua Fontela 11, 3780-000 Anadia, PortugalRua das Encostas 13, 2450-024 Nazaré, Portugal
Autoestrada do Interior Norte 19, 5400-727 Chaves, Portugal
Rua da Liberdade 45, 1250-096 Lisboa, Portugal
Avenida dos Aliados 210, 4000-065 Porto, Portugal
Rua de Santa Catarina 123, 4000-447 Porto, Portugal
Avenida da Liberdade 250, 1250-149 Lisboa, Portugal
Rua do Carmo 88, 1200-094 Lisboa, Portugal
Rua do Arco 80-2 Esq., 1234-567 Lisboa, Portugal
Rua Fonte Taurina 10, 4050-265 Porto, Portugal
Rua de São Cristóvão 15, 1100-177 Lisboa, Portugal
Rua do Poço dos Negros 53-2, 1200-336 Lisboa, Portugal
Praça do Município 6, 1100-365 Lisboa, Portugal
Rua da Alegria 100, 4000-033 Porto, Portugal
Rua de São Bento 202, 1200-821 Lisboa, Portuga
Avenida da República 50, 1050-196 Lisboa, Portugal
Rua de Cedofeita 250, 4050-174 Porto, Portugal
Rua de São Paulo 89, 1200-427 Lisboa, Portugal
Rua da Boavista 190, 4050-102 Porto, Portugal
Rua de São José 35, 1150-321 Lisboa, Portugal
Rua da Constituição 300, 4200-192 Porto, Portugal
Rua do Ouro 85, 1100-063 Lisboa, Portugal
Rua de Santa Clara 50, 4000-442 Porto, Portugal
Rua dos Douradores 110, 1100-207 Lisboa, Portugal
Rua de Miguel Bombarda 150, 4050-381 Porto, Portugal
Rua da Prata 200, 1100-423 Lisboa, Portugal
Rua de Sá da Bandeira 120, 4000-427 Porto, Portugal
Rua de São Nicolau 75, 1100-549 Lisboa, Portugal
Rua de Passos Manuel 137, 4000-385 Porto, Portugal
Rua dos Fanqueiros 150, 1100-231 Lisboa, Portugal
Rua de Santa Catarina 400, 4000-447 Porto, Portugal
Rua do Crucifixo 100, 1100-184 Lisboa, Portugal
Rua de Fernandes Tomás 200, 4000-213 Porto, Portugal
Rua do Souto 45, 4700-329 Braga, Portugal
Avenida da Liberdade 150, 4710-251 Braga, Portugal
Rua de São Marcos 88, 4700-306 Braga, Portugal
Rua D. Diogo de Sousa 30, 4700-422 Braga, Portugal
Rua do Raio 12, 4700-921 Braga, Portugal
Largo da Senhora-a-Branca 18, 4710-443 Braga, Portugal
Rua de Janes 40, 4700-313 Braga, Portugal
Rua Dom Frei Caetano Brandão 60, 4700-031 Braga, Portugal
Avenida Central 100, 4710-228 Braga, Portugal
Rua Conde de Agrolongo 73, 4700-312 Braga, Portugal
Rua dos Chãos 210, 4700-320 Braga, Portugal
Rua de Santa Margarida 65, 4710-306 Braga, Portugal
Rua dos Capelistas 33, 4700-307 Braga, Portugal
Rua Dom Pedro V 122, 4710-374 Braga, Portugal
Rua de Santo André 44, 4700-329 Braga, Portugal
Rua do Anjo 95, 4700-305 Braga, Portugal
Rua de São Vicente 28, 4710-311 Braga, Portugal
Rua da Boavista 190, 4710-401 Braga, Portugal
Rua dos Biscainhos 18, 4700-415 Braga, Portugal
Rua das Fontainhas 51, 4700-228 Braga, Portugal
